Produkt	Preis	Gesamtwertung	Preis-Leistung	Telefon und Akku	Internet	Multimedia	Handling	App-Store	Getestet mit	Aktuelles Betriebssystem	Handbuch	App-Store-Anbindung	Prozessor	Prozessor-Kerne	Prozessor-Takt (MHz)	Arbeitsspeicher (MByte)	SAR-Wert (W/kg)	Akku Sprechzeit (Stunden)	Akku Online-Laufzeit (Stunden)	Akku Lade-Dauer (Stunden)	Akku: Kapazität (mAh)	Akku: Austauschbar	Gesamt-Wertung Akku	Gewicht (g)	Höhe x Breite (mm)	Dicke (mm)	Anmutung	WLAN	GSM-Frequenzbänder	EDGE	UMTS: Daten empfangen	UMTS: Daten versenden	LTE: Unterstützte Frequenzbänder	LTE: Cat-4	Videotelefon	Touchscreen	Touchscreen: Reaktionsfreudigkeit	Display: Typ	Display: Abmessungen	Display: Diagonale (Zoll)	Display: Auflösung	Display: Pixeldichte (ppi)	Display: Farbanzahl	Display: Reflektions-Kontrast	Display: Helligkeit bei Umgebungslicht (cd/m²)	Display: Schachbrett-Kontrast	Sprachaufnahme	Profile	Push-E-Mail	E-Mail per Exchange	Speicher (MByte)	Speicherkarten-Slot	USB-Version	USB-Buchse	USB: Zeit für Übertragung von 100 MByte (s)	SIM-Slot	Bluetooth	NFC	Kamera: Auflösung (Megapixel)	Front-Kamera: Auflösung	Kamera: Autofokus	Kamera: Blitztyp	Camcorder-Auflösung	TV-Ausgang	Musik-Player: Formate	Video-Player	UKW-Radio	Navi: GPS-Empänger	Navi: Software	Navi: Vollversion	Navi: Software-Typ	Navi: Landkarten	Navi: GPS-Fix	Benchmark: Browsermark 1.0	Benchmark: Browsermark 2.0	Getestet am
HTC One M8	479	97.4	65	97.4	99	92.7	100	95.8	Android 4.4.2 mit HTC Sense 6.0	Android 4.4.2	-	Google Play	Qualcomm MSM8974AB Snapdragon 801	4	2.3	2048	0.42	9.13333333333333	8	3.18333333333333	2600	-	83.6	160	146 x 71	10	exzellent	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	443	16.777.216 Farben	4.2:1	482	148:01:00	ja	ja	ja	ja	10096	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Nano-SIM	4.0 (mit A2DP)	Open NFC	4.1	2560 x 1920	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.883 Punkte	31.03.2014
Samsung Galaxy S5	359	97.2	66	98.1	100	95	96.7	95.8	Android 4.4.2 mit Samsung TouchWiz	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974AC Snapdragon 801	4	2.5	2048	0.56	7.95	8.5	2.3	2800	ja	91.2	145	142 x 73	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	64 x 113	5.1	1080 x 1920	432	16.777.216 Farben	2.7:1	404	166:01:00	ja	ja	ja	ja	10905	für microSD-Karten	USB 3.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	15.9	1920 x 1080	ja	LED-Blitz	2.160 x 3.840 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.889 Punkte	08.04.2014
Sony Xperia Z2	390	96.6	67	96.8	98.7	94.7	96.5	95.8	Android 4.4.2 mit Sony UI	Android 4.4.2	-	Google Play	Qualcomm MSM8974AB Snapdragon 801	4	2.3	3072	0.71	10.6166666666667	8.35	3.1	3200	-	88.4	164	147 x 74	8	exzellent	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	64 x 114	5.2	1080 x 1920	427	16.777.216 Farben	5.3:1	420	134:01:00	-	ja	ja	ja	11776	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20.7	1920 x 1080	ja	LED-Blitz	2.160 x 3.840 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.314 Punkte	24.04.2014
Samsung Galaxy Note 3	461.5	96.4	68	99.8	98.7	96.3	92.7	95.8	Android 4.3 mit SamsungTouchWiz und Dropbox	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.3	3072	0.29	9.06666666666667	9.15	2.56666666666667	3200	ja	92.9	168	151 x 80	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	71 x 127	5.7	1080 x 1920	386	16.777.216 Farben	3.2:1	376	161:01:00	ja	ja	ja	ja	26112	für microSD-Karten	USB 3.0	Micro-USB-Buchse	3	für Micro-SIM	4.0 (mit A2DP)	Open NFC	12.8	1920 x 1080	ja	LED-Blitz	2.160 x 3.840 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	2.528 Punkte	10.10.2013
Sony Xperia Z1 Compact	325	96.4	80	96.1	97.1	92.4	98.9	95.8	Android 4.3 mit Sony UI	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.74	7.7	8.35	2.8	2300	-	81.2	136	127 x 66	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 95	4.3	720 x 1280	344	16.777.216 Farben	4.8:1	501	149:01:00	ja	ja	ja	ja	11366	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20.7	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	2.654 Punkte	07.01.2014
HTC One Mini 2	357.9	95.9	75	95.2	96.4	90.5	99.7	95.8	Android 4.4.2 mit HTC Sense 6.0	Android 4.4.2	-	Google Play	Qualcomm MSM8226 Snapdragon 400	4	1.2	1024	1.46	9.31666666666667	6.66666666666667	2.66666666666667	2100	-	81.1	137	137 x 65	11	exzellent	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 99	4.5	720 x 1280	327	16.777.216 Farben	4.9:1	425	157:01:00	ja	ja	ja	ja	10649	für microSD-Karten	USB 2.0	Micro-USB-Buchse	10	für Nano-SIM	4.0 (mit A2DP)	Open NFC	13.2	2560 x 1920	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	939 Punkte	23.05.2014
Samsung Galaxy K Zoom	359	95.9	75	98.9	97.5	91.7	95.5	95.8	Android 4.4.2 mit Samsung TouchWiz	Android 4.4.2	-	Google Play	Samsung Exynos 5260	6	1.7	2048	0.4	12.1166666666667	6.23333333333333	2.21666666666667	2430	ja	95.8	200	137 x 71	21	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	60 x 106	4.8	720 x 1280	306	16.777.216 Farben	3.9:1	351	199:01:00	ja	ja	ja	ja	4910	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20	1920 x 1080	ja	Halogen-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	-	16.07.2014
LG G2	339.9	95.4	81	99.6	96.8	93.5	92.8	95.8	Android 4.2.2 mit Optimus UI	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.3	2048	0.41	10.2833333333333	9.15	2.66666666666667	3000	-	90.1	143	139 x 71	10	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	65 x 116	5.2	1080 x 1920	421	16.777.216 Farben	5.0:1	407	160:01:00	ja	ja	ja	ja	25292	-	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.891 Punkte	18.09.2013
Sony Xperia Z1	316.9	95.3	79	94.7	98.3	94	94.6	95.8	Android 4.2.2 mit Sony UI	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.77	11.5333333333333	6.3	3.53333333333333	3000	-	80.6	170	144 x 75	9	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	444	16.777.216 Farben	5.3:1	502	147:01:00	ja	ja	ja	ja	11776	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20.7	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.329 Punkte	08.10.2013
Samsung Galaxy Note 3 Neo	324.5	95.2	80	99.7	97.6	91.9	92.4	95.8	Android 4.3 mit SamsungTouchWiz und Dropbox	Android 4.3	-	Google Play	Samsung Exynos 5260	6	1.7	2048	0.39	11.6833333333333	7.85	2.53333333333333	3100	ja	100	163	147 x 77	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	69 x 122	5.5	720 x 1280	266	16.777.216 Farben	3.6:1	408	175:01:00	ja	ja	ja	ja	11899	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	755 Punkte	13.05.2014
HTC One	368	95	72	92.4	95.8	91.2	98.5	95.8	Android 4.1.2 mit HTC Sense 5.0	Android 4.4.2	Zum Download	Google Play	Qualcomm APQ8064T Snapdragon 600	4	1.7	2048	0.86	7.73333333333333	5.91666666666667	3.01666666666667	2300	-	70.5	145	137 x 68	9	exzellent	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	58 x 104	4.7	1080 x 1920	471	16.777.216 Farben	3.6:1	479	112:01:00	ja	ja	ja	ja	26009	-	USB 2.0	Micro-USB-Buchse	11	für Micro-SIM	4.0 (mit A2DP)	Open NFC	4.1	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	1.896 Punkte	19.03.2013
LG G3 16GB	324.6	95	67	96.9	98.2	93.7	92.1	95.8	Android 4.4.2 mit Optimus UI	Android 4.4.2	-	Google Play	Qualcomm MSM8975AC Snapdragon 801	4	2.5	2048	0.29	11.6166666666667	5.48333333333333	2.7	3000	ja	87.9	156	146 x 75	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	68 x 121	5.5	1440 x 2560	535	16.777.216 Farben	5.0:1	475	139:01:00	ja	ja	ja	ja	10240	für microSD-Karten	USB 2.0	Micro-USB-Buchse	11	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13	1920 x 1080	ja	Doppel LED-Blitz	2.160 x 3.840 Pixel	proprietärer HDMI	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	1.336 Punkte	26.06.2014
Samsung Galaxy S5 Mini	349.9	94.9	75	95.4	97.6	89.7	95.9	95.8	Android 4.4.2 mit Samsung TouchWiz	Android 4.4.2	-	Google Play	Samsung Exynos 3470	4	1.4	1536	0.97	6.73333333333333	8	2.55	2100	ja	84.1	120	131 x 65	9	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	56 x 99	4.5	720 x 1280	328	16.777.216 Farben	2.5:1	372	228:01:00	ja	ja	ja	ja	11714	für microSD-Karten	USB 2.0	Micro-USB-Buchse	10	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	-	14.08.2014
Google Nexus 5 (32 GB)	435	94.9	71	93.7	98	86.3	99.1	95.8	Android 4.4	Android 4.4.4	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.3	2048	0.49	8.96666666666667	6.6	2.33333333333333	2300	-	81.8	130	138 x 70	9	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	445	16.777.216 Farben	6.3:1	451	164:01:00	ja	ja	ja	ja	27340	-	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1280 x 1024	ja	LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	2.813 Punkte	13.11.2013
Samsung Galaxy S4	344.96	94.6	74	98.3	97	91.9	91.9	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.4.2	Zum Download	Google Play	Qualcomm APQ8064T Snapdragon 600	4	1.9	2048	0.28	10.3	7.18333333333333	2.33333333333333	2600	ja	94.1	131	135 x 69	9	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	62 x 110	5	1080 x 1920	443	16.777.216 Farben	3.3:1	320	194:01:00	ja	ja	ja	ja	9340	für microSD-Karten	USB 2.0	Micro-USB-Buchse	7	für Micro-SIM	4.0 (mit A2DP)	Open NFC	12.8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	2.130 Punkte	26.04.2013
Sony Xperia Z	279	94.4	86	95.5	96.2	92.3	93.5	95.8	Android 4.1.2 mit Sony UI	Android 4.4.2	Zum Download	Google Play	Qualcomm APQ8064 + MDM9215M	4	1.5	2048	0.55	11.4666666666667	5.11666666666667	3.06666666666667	2330	-	77.8	147	139 x 72	8	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	445	16.777.216 Farben	6.2:1	472	159:01:00	ja	ja	ja	ja	12011	für microSD-Karten	USB 2.0	Micro-USB-Buchse	16	für Micro-SIM	4.0 (mit A2DP)	Open NFC	12.8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	1.731 Punkte	15.02.2013
Asus New Padfone	409	94	65	92.1	97.6	90.6	94.6	95.8	Android 4.2.2 mit Asus-UI	Android 4.2.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.69	7.91666666666667	6	2.63333333333333	2400	-	74.1	157	143 x 73	9	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 111	5	1080 x 1920	441	16.777.216 Farben	4.2:1	409	154:01:00	ja	ja	ja	ja	10854	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Nano-SIM	4.0 (mit A2DP)	Open NFC	13	1600 x 1200	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	2.305 Punkte	11.12.2013
HTC One Mini	299	94	81	92.3	95.6	89.9	96	95.8	Android 4.2.2 mit HTC Sense 5.0	Android 4.4.2	Zum Download	Google Play	Qualcomm Snapdragon 400	2	1.4	1024	0.7	5.53333333333333	7.43333333333333	2.4	1800	-	71.1	123	132 x 63	9	sehr gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 94	4.3	720 x 1280	344	16.777.216 Farben	2.8:1	462	182:01:00	ja	ja	ja	ja	10803	-	USB 2.0	Micro-USB-Buchse	18	für Micro-SIM	4.0 (mit A2DP)	-	4.1	1400 x 1050	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	-	1.873 Punkte	24.07.2013
Apple iPhone 5S (64 GB)	677.77	93.9	43	89.7	95.6	89.6	96.3	100	iOS 7.0	iOS 7.1	Zum Download	Apple App Store	Apple A7	2	1.3	1024	0.8	6.76666666666667	6.51666666666667	2.16666666666667	1570	-	74	114	124 x 59	8	exzellent	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	50 x 89	4	640 x 1136	326	16.777.216 Farben	3.0:1	544	167:01:00	ja	ja	ja	ja	58060	-	USB 2.0	proprietär	9	für Nano-SIM	4.0 (mit A2DP)	-	8	1280 x 960	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Apple Karten)	Offboard	10 Sekunden	-	2.745 Punkte	12.09.2013
LG Optimus G	287.95	93.6	78	94.2	95.4	88.9	94.4	95.8	Android 4.1.2 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Qualcomm S4 Pro APQ8064	4	1.5	2048	0.43	10.3166666666667	5.81666666666667	3.06666666666667	2100	-	77.7	145	132 x 69	10	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	61 x 102	4.7	768 x 1280	319	16.777.216 Farben	6.3:1	332	163:01:00	ja	ja	ja	ja	25641	-	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13.1	1280 x 960	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	5 Sekunden	-	1.457 Punkte	12.03.2013
OnePlus One 64GB	410	93.5	80	90.8	96.2	91.2	94.3	95.8	Android 4.4.2 mit CyanogenMod 11	Android 4.4.2	-	Google Play	Qualcomm MSM8974AC Snapdragon 801	4	2.5	3072	0.62	9.65	8.33333333333333	2.16666666666667	3100	-	91.3	165	153 x 76	9	exzellent	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	68 x 121	5.5	1080 x 1920	403	16.777.216 Farben	3.2:1	398	152:01:00	ja	ja	ja	ja	55808	-	USB 2.0	Micro-USB-Buchse	10	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13.1	2592 x 1944	ja	Doppel LED-Blitz	2.160 x 4.096 Pixel	-	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	-	15.07.2014
LG G Flex	419	93	73	94.9	97.5	94.6	86.8	95.8	Android 4.2.2 mit Optimus UI	Android 4.4.2	-	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.26	2048	0.48	10.8	7.68333333333333	2.7	3500	-	89.9	176	160 x 82	9	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	74 x 132	6	720 x 1280	247	16.777.216 Farben	2.9:1	361	141:01:00	ja	ja	ja	ja	24658	-	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	2.156 Punkte	13.02.2014
Samsung Galaxy S4 Mini	241.9	92.7	86	96.6	93.9	88.8	90.8	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.2.2	Zum Download	Google Play	Qualcomm Snapdragon 400	2	1.7	1536	0.33	7	8.91666666666667	2.46666666666667	1900	ja	85.8	109	125 x 62	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	53 x 95	4.3	540 x 960	258	16.777.216 Farben	3.7:1	334	174:01:00	ja	ja	ja	ja	4802	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1392 x 1392	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	17 Sekunden	-	1.659 Punkte	09.07.2013
Huawei Ascend P7	306	92.7	76	88.2	96.1	87.6	95.6	95.8	Android 4.4.2 mit Huawei Emotion UI 2.3	Android 4.4.2	-	Google Play	HiSilicon Kirin 910T	4	1.8	2048	0.52	7.61666666666667	4.56666666666667	2.53333333333333	2500	-	66.7	124	140 x 69	7	sehr gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	443	16.777.216 Farben	5.8:1	477	139:01:00	ja	ja	ja	ja	12052	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13	3264 x 2448	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	10 Sekunden	-	942 Punkte	03.06.2014
LG G2 Mini	177	92.6	99	95.7	96.1	83.8	93.1	95.8	Android 4.4.2 mit Optimus UI	Android 4.4	-	Google Play	Qualcomm MSM8926 Snapdragon 400	4	1.2	1024	0.34	9.11666666666667	8.75	3.55	2440	ja	87	124	130 x 66	11	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	59 x 104	4.7	540 x 960	235	16.777.216 Farben	3.9:1	363	171:01:00	ja	ja	ja	ja	3481	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1280 x 1024	ja	LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	900 Punkte	16.05.2014
Samsung Galaxy S3 LTE	302.29	92.6	62	92.5	95.6	91.3	90.5	95.8	Android 4.1 mit Samsung TouchWiz	Android 4.3	Zum Download	Google Play	Samsung Exynos 4412	4	1.4	2048	0.24	6.58333333333333	6.68333333333333	2.5	2100	ja	77.6	133	136 x 70	9	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	60 x 106	4.8	720 x 1280	306	16.777.216 Farben	3.2:1	307	158:01:00	ja	ja	ja	ja	11202	für microSD-Karten	USB 2.0	Micro-USB-Buchse	11	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1392 x 1392	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	17 Sekunden	159.200 Punkte	-	05.10.2012
